Asset ID	Quartex UniqueIdentifier	Quartex Name	Collection(s)	Published URL	Title	People and Organizations	Location	Approximate Date	Abstract	Description	Identifier	Language	Publisher	Date	Rights	Source	Subject	Format Genre	Format	Repository	Special Collections	University Archives	Time Span	Date Digital	Digitization Specifications	Original Handle	Rights Summary	Accessibility Feature	Accessibility Summary	Legacy Subjects
266414	c72c9a04-ffe6-402b-a3d2-348f1e22823e	pcast0011	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-on-capturing-domestic-competitive-advantage-in-advanced-manufacturing/266414	Report to the President on Capturing Domestic Competitive Advantage in Advanced Manufacturing	"Hockfield, Susan|Liveris, Andrew|The President's Council of Advisors on Science and Technology (PCAST)"				"The United States requires a new national advanced manufacturing strategy focused on innovation to ensure it remains a global leader in advanced manufacturing. In this follow-up to their 2011 report Ensuring American Leadership in Advanced Manufacturing,ù the Presidents's Council of Advisors on Science and Technologys (PCAST) Advanced Manufacturing Partnership (AMP) Steering Committee provides an analysis of current trends of U.S. advanced manufacturing and make recommendations for promoting regional innovation and training networks."	pcast0011	eng	Rice University	201207	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government|Technology	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/113000	Public domain	taggedPDF		United States. President (2009-2017 : Obama)
266415	eecdd08a-4304-49f1-8e11-20ad4d0940f7	pcast0012	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-engage-to-excel-producing-additional-college-graduates-with-degrees-in-science-technology-engineering-and-mathematics/266415	"Report to the President Engage to Excel: Producing Additional College Graduates with Degrees in Science, Technology, Engineering, and Mathematics"	"Gates, S. James, Jr.|Handelsman, Jo|Lepage, G. Peter|Mirkin, Chad|The President's Council of Advisors on Science and Technology (PCAST)"				"A skilled national workforce relies on a strong science, technology, engineering, and mathematics (STEM) education system. In a review of U.S. trends in higher education, the Presidents's Council of Advisors on Science and Technology (PCAST) finds that fewer than 40% of students who enter college intending to major in a STEM field graduate with a STEM degree, and that retaining interested students in STEM fields would be the most cost-efficient way of developing the next generation of science and technology professionals. PCAST recommends that the federal government set a target of retaining an additional 10% of these STEM students to produce one million additional STEM graduates over the next decade. To this end, PCAST recommends improving of STEM teaching practices, increasing support for research courses, diversifying pathways to STEM careers, and creating a Presidential Council on STEM education."	pcast0012	eng	Rice University	201202	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/113001	Public domain	taggedPDF		United States. President (2009-2017 : Obama)|Science--Study and teaching
266416	f451294b-e7b4-4338-9aca-873cf04b7d09	pcast0013	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-on-propelling-innovation-in-drug-discovery-development-and-evaluation/266416	"Report to the President on Propelling Innovation in Drug Discovery, Development, and Evaluation"	The President's Council of Advisors on Science and Technology (PCAST)				"The pace of new therapeutic innovations has not kept up with the explosion in scientific knowledge, especially for many of the most common human diseases, such as cancer, diabetes, and heart disease. The Presidents's Council of Advisors on Science and Technology (PCAST) notes that while the benefits of medical innovation may increase healthcare costs in the short-term, the cumulative economic benefits in the long-term justify pursuing the innovation. PCAST recommends several measures designed to improve drug discovery, drug evaluation, and the Food and Drug Administrations (FDA) drug evaluation processes."	pcast0013	eng	Rice University	201209	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/113002	Public domain	taggedPDF		United States. President (2009-2017 : Obama)
266417	8677512a-24df-4fc5-8acf-96b2babe4802	pcast0014	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-realizing-the-full-potential-of-government-held-spectrum-to-spur-economic-growth/266417	Report to the President Realizing the Full Potential of Government-Held Spectrum to Spur Economic Growth	The President's Council of Advisors on Science and Technology (PCAST)				"The rapid growth of wireless information technologies has made spectrum allocation a key policy challenge for ensuring United States competitiveness in the high-technology sector. The Presidents's Council of Advisors on Science and Technology (PCAST) argues that the federal spectrum system architecture should be reformed to allow wider spectrum sharing via larger frequency bands, rather than prioritizing exclusivity. PCAST recommends that the President identify 1,000 MHz of federal spectrum to implement this new system architecture and that the Department of Commerce form new mechanisms to support spectrum sharing."	pcast0014	eng	Rice University	201207	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/113003	Public domain	taggedPDF		United States. President (2009-2017 : Obama)
266418	2afa5674-e4dc-4ced-b27f-2ae57802e1a3	pcast0015	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-transformation-and-opportunity-the-future-of-the-u.s-research-enterprise/266418	Report to the President Transformation and Opportunity: The Future of the U.S Research Enterprise	"Press, William|Savitz, Maxine|The President's Council of Advisors on Science and Technology (PCAST)"				"Transformative changes to national educational and research institutions are necessary for the United States to maintain its leadership in science and technology research and development (R&D). In 2009, Asia had roughly matched the United States in global expenditures in R&D, and was projected to surpass the United States in 2012. The Presidents's Council of Advisors on Science and Technology (PCAST) argues that increased productivity from the United States research universities and national laboratories can reverse the erosion of international leadership, and recommends several policies that help achieve this goal, including sustaining R&D expenditures at 3% of gross domestic product (GDP); utilizing the Office of Management and Budget (OMB) and the Office of Science and Technology Policy (OSTP) to lead policy and regulatory reforms regarding universities; and easing immigration processes for foreign students and high-skilled workers in science, technology, engineering, and mathematics (STEM) fields."	pcast0015	eng	Rice University	201211	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/113004	Public domain	taggedPDF		United States. President (2009-2017 : Obama)
266419	06ce4885-6b88-4f63-a07c-6d59b3cb0936	pcast0016	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-and-congress-on-the-fourth-assessment-of-national-nanotechnology-initiative/266419	Report to the President and Congress on the Fourth Assessment of National Nanotechnology Initiative	"Savitz, Maxine|Penhoet, Ed|Mirkin, Chad|The President's Council of Advisors on Science and Technology (PCAST)"				"The National Nanotechnology Initiative (NNI) was launched in fiscal year 2001 to centralize the federal government's research and development (R&D) efforts in nanoscale technologies, with the initiative being subject to periodic reviews by the National Nanotechnology Advisory Panel (NNAP). Acting in this capacity, the Presidents's Council of Advisors on Science and Technology (PCAST) offer their fourth assessment of the NNI, finding it to be a highly valuable part of the federal government's innovation strategy, deriving many commercial and economic benefits from the discoveries made through the NNI. PCAST also commends the progress made on the previous recommendations made in its third assessment from 2010 and recommends that more attention be given to improving the technology transfer and public outreach of nanotechnology R&D."	pcast0016	eng	Rice University	201204	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/113005	Public domain	taggedPDF		United States. President (2009-2017 : Obama)
266420	8af45b0b-cea0-469f-9679-e063c68d9b30	pcast0017	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-and-congress-designing-a-digital-future-federally-funded-research-and-development-in-networking-and-information-technology/266420	Report to the President and Congress Designing a Digital Future: Federally Funded Research and Development in Networking and Information Technology	"Graham, Susan L.|Lee, Peter|Shaw, David E.|The President's Council of Advisors on Science and Technology (PCAST)"				"The Federal Networking and Information Technology Research and Development (NITRD) program coordinates all unclassified federally funded research and development (R&D) activities in networking and information technology. The Presidents's Council of Advisors on Science and Technology (PCAST), in their assessment of NITRD, commends the programs response to the recommendations made in its 2010 assessment, but notes that inadequate interagency collaboration and coordination could be the reason behind the limited progress in some areas. PCAST recommends that the NITRD program emphasize areas of big data, health IT, and cybersecurity, and that additional funding be invested in education technology, energy, and transportation."	pcast0017	eng	Rice University	201301	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/113006	Public domain	taggedPDF		United States. President (2009-2017 : Obama)
266422	c16f09b6-3bb0-4046-836c-e152a6e030c5	pcast0018	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-immediate-opportunities-for-strengthening-the-nations-cybersecurity/266422	Report to the President Immediate Opportunities for Strengthening the Nation's Cybersecurity	"Press, William|Mundie, Craig|The President's Council of Advisors on Science and Technology (PCAST)"				"Cybersecurity is best achieved by a continuous process of threat evaluation and defensive response. The Presidents's Council of Advisors on Science and Technology (PCAST) argues that this practice stands in contrast to the federal government's approach that uses static precautionsù and other mechanisms to mandate cybersecurity measures that evolve only in iterative and not dynamic ways. To remedy this, PCAST recommends that the federal government enact a new cybersecurity strategy that involves adopting best practices, third-party auditing of federal cybersecurity systems, and improving the government's real-time cybersecurity capabilities."	pcast0018	eng	Rice University	201311	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/113007	Public domain	taggedPDF		United States. President (2009-2017 : Obama)
266424	f97bf526-5299-4a55-b17a-e7a1a95aa2f0	pcast0019	PCAST reports	digitalcollections.rice.edu/documents/detail/letter-to-the-president-climate-change-and-energy/266424	Letter to the President Climate Change and Energy	The President's Council of Advisors on Science and Technology (PCAST)				"The Presidents's Council of Advisors on Science and Technology (PCAST), in response to a request from President Obama, put forth six components they consider central to the Presidents's climate change strategy. These components are national preparedness, decarbonization of the economy, deregulation and tax crediting for clean energy, support for next-generation clean energy research, establishment of U.S. leadership in climate change, and conducting a Quadrennial Energy Review."	pcast0019	eng	Rice University	201303	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/113008	Public domain	taggedPDF		United States. President (2009-2017 : Obama)
266426	6776cb43-525c-46e4-8a85-2032e2d9a059	pcast0020	PCAST reports	digitalcollections.rice.edu/documents/detail/letter-to-the-president-on-education-technology/266426	Letter to the President on Education Technology	The President's Council of Advisors on Science and Technology (PCAST)				"With rising costs hampering the accessibility and affordability of higher learning institutions in the United States, new applications of information technology (IT) in education, in particular massive open online courses (MOOCs), may present potential solutions to these challenges. The Presidents's Council of Advisors on Science and Technology (PCAST) offers an analysis of the current landscape of MOOCs, and recommends that the federal government encourage innovation in MOOCs by supporting research grants and allowing market forces to promote competition and innovation among MOOCs."	pcast0020	eng	Rice University	201312	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/113009	Public domain	taggedPDF		United States. President (2009-2017 : Obama)
266429	a93d30ff-ed54-4ee1-9fc1-ab6fb6a4c838	pcast0021	PCAST reports	digitalcollections.rice.edu/documents/detail/assessing-the-u.s-rd-investments/266429	Assessing the U.S R&D Investments	"Clough, G. Wayne|The President's Council of Advisors on Science and Technology (PCAST)"				"While funding from the federal government has enabled significant economic growth through research and development (R&D) investments, action is required to ensure that the United States continues this growth and long-standing leadership in science and technology. The Presidents's Council of Advisors on Science and Technology (PCAST) recommends that further investment in the physical sciences and engineering, a new program of fellowships for advanced U.S. graduate students, and an analysis of federal R&D investments by the Office of Science and Technology Policy (OSTP) are needed to ensure that the United States maintains is global economic competitiveness."	pcast0021	eng	Rice University	20021016	This material is in the public domain and may be freely used.	This report was downloaded from https://www.whitehouse.gov/administration/eop/ostp/pcast/docsreports/archives in January 2017	Politics and government|Economics and finance	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2000s	2017	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/113010	Public domain	taggedPDF		United States. President (2001-2009 : Bush)
266430	5712a32c-fae3-4dbd-8f8c-0a41daad70d8	pcast0022	PCAST reports	digitalcollections.rice.edu/documents/detail/building-out-broadband/266430	Building Out Broadband	"Fox, Marye Anne|The President's Council of Advisors on Science and Technology (PCAST)"				"Broadband connectivity, despite being one of the most important information technology advancements of the early 21 century, has yet to reach its potential or its demand from the economy. Broadband connectivity is projected to increase U.S. gross domestic product (GDP) by $500 billion annually by increasing labor productivity across broad sectors of the economy. The Presidents's Council of Advisors on Science and Technology (PCAST) recommends that the federal government cooperate with the private sector to build broadband infrastructure as quickly as possible, which would enable wider adoption of emerging technologies such as e-learning and telemedicine."	pcast0022	eng	Rice University	20021213	This material is in the public domain and may be freely used.	This report was downloaded from https://www.whitehouse.gov/administration/eop/ostp/pcast/docsreports/archives in January 2017	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2000s	2017	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/113011	Public domain	taggedPDF		United States. President (2001-2009 : Bush)
